29|동탄시범|경기도 화성시 반송동 86-4|37.2073729164422|127.073689948733|94.0|12|0|0|48|26|9|0|7|34|0|49372489.0|16457496|197489956|3.0|0.0|0.0|17.0|9.0|3.0|0.0|4.0|15.0|0.0|106.26|2019-01-10|nan|영업|nan|6|29|22080000|1706|216624|4659|3800000|17167|4140000
30|안성중앙대|경기 안성시 대덕면 대학10길 3|37.0010341922135|127.225027982948|24.0|4|0|0|18|2|1|0|1|6|0|65017509.0|21672503|260070036|4.0|0.0|0.0|8.0|2.0|1.0|0.0|1.0|6.0|0.0|52.58|2011-10-18|nan|영업|nan|5|5|24080000|2249|15713|1337|3400000|3706|2860000
31|안성롯데캐슬|경기도 안성시 대덕면 신령리 500|37.0131762850082|127.226140448311|29.0|2|0|0|12|1|1|0|1|5|0|49897773.0|16632591|199591094|2.0|0.0|0.0|3.0|1.0|1.0|0.0|1.0|4.0|0.0|130.01|2020-04-14|nan|영업|nan|3|3|24910000|1923|11213|268|3180000|6118|2810000
32|평택고덕|경기 평택시 고덕중앙로 200-5|37.0473713571127|127.044873206515|35.0|0|0|0|2|10|0|0|3|1|0|93525902.0|31175300|374103609|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|123.3|1999-12-11|nan|영업|nan|3|12|23890000|1962|7781|358|3810000|3782|3280000
33|GS수퍼안성|경기도 안성시 영동 410|37.0061821379558|127.274220109251|30.0|6|2|3|55|17|21|0|8|8|0|99367893.0|33122631|397471574|1.0|0.0|1.0|26.0|7.0|10.0|0.0|2.0|4.0|0.0|55.2|1999-09-07|nan|영업|nan|11|19|22080000|1759|107825|5933|3550000|5065|2990000
34|안성|경기 안성시 중앙로 385|37.0077353724426|127.26979662107|31.0|6|2|4|50|26|27|0|8|10|0|99367893.0|33122631|397471574|3.0|0.0|3.0|23.0|9.0|10.0|0.0|2.0|8.0|0.0|145.36|2009-07-13|nan|영업|nan|14|24|22220000|1771|133950|8091|3550000|5536|2990000
35|안성쌍용|경기 안성시 대학로 63|37.013964582748|127.266139134528|33.0|8|2|6|42|21|21|0|9|17|0|110628592.0|36876197|442514368|2.0|0.0|2.0|12.0|6.0|8.0|0.0|5.0|4.0|0.0|89.3|2002-04-12|nan|영업|nan|4|27|22300000|1712|21299|3756|3550000|6769|2990000
36|오산누읍|경기 오산시 발안로 1354|37.1411509161871|127.047170936729|56.0|1|0|0|29|9|1|0|2|7|124|80970051.0|26990017|323880206|1.0|0.0|0.0|15.0|4.0|0.0|0.0|0.0|4.0|40.0|199.3|2010-09-16|nan|영업|nan|2|2|19290000|1509|23576|622|3610000|8058|2900000
37|송탄서정역|경기도 평택시 서정동 334-4|37.0564572497506|127.055907179257|37.0|9|0|1|45|38|11|1|8|15|0|93525902.0|31175300|374103609|4.0|0.0|0.0|21.0|22.0|5.0|1.0|1.0|5.0|0.0|189.15|2008-02-01|nan|영업|nan|8|23|21280000|1707|148376|3098|3810000|16129|3280000
38|영통아이파크캐슬|경기도 수원시 영통구 덕영대로 1400|37.2418207759985|127.041223277198|122.0|19|0|0|39|21|3|0|5|69|0|184535670.0|61511890|738142680|2.0|0.0|0.0|6.0|3.0|0.0|0.0|0.0|2.0|0.0|69.4|2004-03-09|nan|영업|nan|4|28|35000000|2599|16413|750|3640000|19295|3830000
39|한보라휴먼시아|경기 용인시 기흥구 한보라1로 134-2|37.2444102827621|127.105918140817|129.0|4|0|0|33|11|3|0|4|18|0|29060587.0|9686862|116242348|2.0|0.0|0.0|11.0|3.0|1.0|0.0|1.0|4.0|0.0|101.13|2018-06-08|nan|영업|nan|3|7|29260000|2361|45866|874|4030000|9141|3550000
40|용인서천|경기 용인시 기흥구 예현로 35번길 2 105|37.2439046623864|127.066655917139|124.0|14|0|0|75|43|2|2|10|54|0|85758575.0|28586191|343034301|1.0|0.0|0.0|17.0|13.0|0.0|0.0|2.0|7.0|0.0|109.96|2009-04-20|nan|영업|nan|5|30|68340000|4699|65098|6004|4380000|22743|3930000
41|수원고색|경기 수원시 권선구 매송고색로 693|37.2509481271728|126.98028242065|125.0|5|0|1|33|9|0|1|4|12|0|78593042.0|26197680|314372168|3.0|0.0|1.0|8.0|5.0|0.0|1.0|3.0|7.0|0.0|89.0|2011-01-17|nan|영업|nan|4|6|33560000|2500|54145|2015|3570000|10585|3100000
42|화성시청뉴타운|경기 화성시 남양읍 역골중앙로 2|37.2015899442019|126.825357749762|77.0|13|3|3|29|11|4|0|5|33|0|118841185.0|39613728|475364740|6.0|0.0|2.0|7.0|5.0|3.0|0.0|2.0|21.0|0.0|173.63|2015-08-12|nan|영업|nan|7|14|31190000|2417|38267|1413|4830000|5315|3320000
43|용인김량장|경기도 용인시 처인구 김량장동 328-1|37.2346334515449|127.198006442272|131.0|6|0|0|40|73|19|0|5|9|0|28194204.0|9398068|112776817|1.0|0.0|0.0|18.0|36.0|7.0|0.0|3.0|3.0|0.0|70.56|2008-05-06|nan|영업|nan|13|35|27250000|1929|132815|4199|3710000|15049|3080000
44|권선중앙|경기도 수원시 권선구 권선동 1257-1|37.2524842821608|127.031196115757|132.0|13|1|1|54|49|3|1|13|20|0|92766269.0|30922089|371065076|4.0|1.0|1.0|7.0|11.0|1.0|0.0|5.0|6.0|0.0|91.49|2015-02-24|nan|영업|nan|13|45|21990000|1919|77344|3356|4400000|17090|3470000
45|용인|경기 용인시 처인구 금령로 86|37.2350859784862|127.205815188674|133.0|4|0|2|61|61|17|0|5|6|0|65143781.0|21714593|260575124|1.0|0.0|0.0|20.0|20.0|13.0|0.0|1.0|4.0|0.0|73.06|2007-11-16|nan|영업|nan|12|27|23970000|1755|217431|6221|3500000|6986|3010000
46|세류2동|경기도 수원시 권선구 세류2동 459-7|37.2557187544823|127.010984447574|135.0|6|0|0|66|19|1|0|4|11|0|78181040.0|26060346|312724163|2.0|0.0|0.0|15.0|9.0|0.0|0.0|2.0|5.0|0.0|82.35|2007-12-28|nan|영업|nan|6|21|29330000|2342|80565|3500|3330000|14998|2920000
